Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
5902741000422;3,41;3,68;B2B/709/11/20/KORP;8941;Anyż gwiazdkowy (kartonik) 30g;3.0000;szt;8,00;10,23;11,05
5902741001764;3,63;3,92;B2B/709/11/20/KORP;8962;Goździki mielone (kartonik) 30g;2.0000;szt;8,00;7,26;7,84
5902741006103;4,51;4,87;B2B/709/11/20/KORP;12412;Herbatka Na dobranoc EKO 25x2g;2.0000;szt;8,00;9,02;9,74
5902581618641;5,17;5,58;B2B/709/11/20/KORP;12475;Herbatka Bomba witaminowa EKO - herbatka w piramidkach 15x3g;2.0000;szt;8,00;10,34;11,17
5902581616968;9,35;11,50;B2B/709/11/20/KORP;12788;Herbata Czarna Rozgrzewająca EKO 100g;1.0000;szt;23,00;9,35;11,50
5902581617583;9,35;11,50;B2B/709/11/20/KORP;12804;Herbata Czarna z Cynamonem i Goździkami EKO 100g;2.0000;szt;23,00;18,70;23,00
5902581617859;5,06;5,46;B2B/709/11/20/KORP;12884;Herbatka Dla dzieci i niemowląt EKO 25x2g;2.0000;szt;8,00;10,12;10,93
5902581616913;11,00;13,53;B2B/709/11/20/KORP;12981;Herbata Czarna Bajeczna EKO 100g;2.0000;szt;23,00;22,00;27,06
5902581617620;4,84;5,23;B2B/709/11/20/KORP;13064;Herbatka Dobry humor EKO 25x2g;2.0000;szt;8,00;9,68;10,45
5902581617378;4,73;5,82;B2B/709/11/20/KORP;13189;Herbata Czarna Rozgrzewająca EKO 25x2g;2.0000;szt;23,00;9,46;11,64
5902581617118;3,30;3,56;B2B/709/11/20/KORP;13300;Herbatka Dla serduszka EKO 50g - Suplement diety;1.0000;szt;8,00;3,30;3,56
5902581618290;3,85;4,16;B2B/709/11/20/KORP;13302;Herbatka Dla serduszka EKO 25x2g - Suplement diety;2.0000;szt;8,00;7,70;8,32
5903246860832;8,36;8,78;B2B/709/11/20/KORP;14097;Susz Wigilijny EKO 200g;6.0000;szt;5,00;50,16;52,67
5903246861075;7,92;8,55;B2B/709/11/20/KORP;14266;Herbatka Świąteczna EKO 120g;8.0000;szt;8,00;63,36;68,43
5903246861532;83,60;102,83;B2B/709/11/20/KORP;14345;Skrzyneczka prezentowa - Świąteczna;3.0000;szt;23,00;250,80;308,48
5903246860641;6,49;6,81;B2B/709/11/20/KORP;14597;Mus dla serduszka EKO 190g;2.0000;szt;5,00;12,98;13,63
5903246863994;19,80;21,38;B2B/709/11/20/KORP;15688;Niezbędnik świąteczny;7.0000;szt;8,00;138,60;149,69
5903246863840;3,63;3,92;B2B/709/11/20/KORP;15690;Herbatka Odporność EKO 25x2g;2.0000;szt;8,00;7,26;7,84
5903246863185;20,90;22,57;B2B/709/11/20/KORP;15698;Domowy Zielnik - Herbatka Odprężająca Eko 120g;1.0000;szt;8,00;20,90;22,57
5903246864014;18,70;20,20;B2B/709/11/20/KORP;15768;Domowy Zielnik - Sielskie Aromaty EKO 100g;1.0000;szt;8,00;18,70;20,20
5903246864007;20,90;22,57;B2B/709/11/20/KORP;15770;Domowy Zielnik - Bukiet Kwiatowy Eko 80g;1.0000;szt;8,00;20,90;22,57
5903246865462;8,58;10,55;B2B/709/11/20/KORP;18476;Herbata Rooibos EKO 100g;2.0000;szt;23,00;17,16;21,11
5903246865486;6,38;7,85;B2B/709/11/20/KORP;18488;Herbatka Rooibos EKO 25x1,5g;2.0000;szt;23,00;12,76;15,69
