vat,rabat,cena_netto,ean,nazwa_towaru,ilosc,kategoria
23,None,135,5903246869903,Zielnik ekologiczny - Kwiatowe inspiracje 160g,None,PRODUKTY åWI•TECZNE
23,None,135,5903246869897,Zielnik ekologiczny - Owocowe inspiracje 300g,None,PRODUKTY åWI•TECZNE
0,None,27.61,5903246869743,Olej lniany 500ml,None,Oleje t≥oczone na zimno
8,None,16.5,5903246869712,Suplement diety - Ostropest plamisty EKO 60 kapsu≥ek,None,Suplementy diety w kapsu≥kach
0,None,5.61,5903246869873,Chaga 50g,None,Zio≥a jednorodne
8,None,17.6,5903246869699,H. Malinowo-Lipowa EKO 25x2.5g,None,Herbatki\Owocowe
8,None,5.39,5904538030285,Musztarda miodowa EKO 200g,None,Przetwory
8,None,9.79,5903246869750,H. Bomba witaminowa EKO - herbatka w piramidkach 15x3g,None,Herbatki\Owocowe
8,None,13.86,5904538030476,H. Bomba witaminowa EKO 25x3g,None,Herbatki\Owocowe
0,None,7.26,5903246869880,Buraczki - domowe zasmaøane EKO 370g,None,Przetwory
0,None,9.9,5904538030353,Kapusta kiszona z øurawinπ EKO 850g,None,Przetwory
8,None,7.48,5903246869811,Ketchup z owocami rÛøy ≥agodny EKO 300g,None,Przetwory
8,None,7.48,5903246869828,Ketchup z owocami rÛøy pikantny EKO 300g,None,Przetwory
8,None,5.06,5904538030346,Musztarda dla dzieci EKO 200g,None,Przetwory
8,None,4.62,5904538030292,Musztarda chrzanowa EKO 200g,None,Przetwory
0,None,35.2,5904538030278,Liofilizowana herbatka S≥oneczna polana EKO 5x2.5g,None,UPOMINKI OKOLICZNOåCIOWE
0,None,6.38,5904538030650,Zupa Grzybowa z lejkowcem EKO 35g,None,Zupy
0,None,6.38,5904538030674,Zupa OgÛrkowa z bluszczykiem EKO 35g,None,Zupy
0,None,6.38,5904538030681,Zupa Paprykowa z kolendrπ EKO 35g,None,Zupy
0,None,6.38,5904538030643,Zupa Barszcz czerwony z majerankiem EKO 25g,None,Zupy
0,None,6.38,5904538030667,Zupa Kapuúniak z kminkiem EKO 35g,None,Zupy
0,None,11.55,5904538030445,Dosmaczka Babuni EKO 250g,None,Przyprawy EKO\Mieszanki
0,None,7.59,5904538030452,Pigwowiec owoc w syropie EKO 440g,None,Przetwory
8,None,6.49,5903246869774,Herbatka Laktacyjna EKO 25x2g,None,Herbatki\Zio≥owe
8,None,2.86,5903246869613,Posypka do kanapek i innych daÒ 25g,None,Przyprawy\Mieszanki
23,None,4.62,s≥oiczek,S≥oiczek szklany z korkiem,None,Pozosta≥e produkty
8,None,4.84,5903246864380,Herbatka Niejadek EKO 50g,None,Herbatki\Zio≥owe
8,None,5.72,5903246866827,Podlaska przyprawa do ogÛrkÛw konserwowych 100g,None,Przyprawy\Mieszanki
8,None,6.6,5904538031015,JeøÛwka purpurowa korzeÒ EKO 100g - suplement diety,None,Zio≥a jednorodne
0,None,3.85,5904538030995,Werbena ziele EKO 50g,None,Zio≥a jednorodne
0,None,9.9,5904538031008,Wiecznik kulisty kwiat EKO 20g,None,Zio≥a jednorodne
0,None,3.52,5904538030988,Po≥onicznik ziele EKO 25g,None,Zio≥a jednorodne
0,None,18.15,5904538031336,Mπka pszenna 1050 EKO 3kg,None,Pozosta≥e produkty
0,None,29.15,5904538031343,Mπka orkiszowa 850 EKO 3kg,None,Pozosta≥e produkty
0,None,15.29,5904538031329,Mπka øytnia 580 EKO 3kg,None,Pozosta≥e produkty
