#1
#1
#1
$2023	10020234
$2024	10020241
$2026	10020265
$2034	10020340
$2035	10020357
$2036	10020364
$2050	11020509
$2051	11020516
$2052	11020523
$2053	11020530
$2054	11020547
$2055	11020554
$2056	11020561
$2057	11020578
$2058	11020585
$2062	12020621
$2065	12020652
$2066	12020669
$2067	12020676
$2073	12020737
$2074	12020744
$2075	12020751
$2076	12020768
$2077	12020775
$2078	12020782
$2080	12020805
$2081	12020812
$2085	12020850
$2086	12020867
$2087	12020874
$2088	12020881
$2089	12020898
$2093	12020935
$2094	12020942
$2095	12020959
$2096	12020966
$2098	12020980
$2099	12020997
$2100	12021000
$2101	12021017
$2102	12021024
$2103	12021031
$2104	12021048
$2105	12021055
$2350	15023506
$4050	99040505
$4051	99040512
$4052	99040529
$4053	99040536
$2962	19029627
$2966	19029665
$2967	19029672
$2970	19029702
$2971	19029719
$2973	19029733
$2979	19029795
$2980	19029801
$2982	19029825
$2984	19029849
$2985	19029856
$2986	19029863
$2987	19029870
$2989	19029894
$2990	19029900
$2994	19029948
$2995	19029955
$2996	19029962
$2997	19029979
$2998	19029986
$2999	19029993
$3000	19030005
$3001	19030012
$3002	19030029
$3003	19030036
$3005	19030050
$3006	19030067
$3007	19030074
$3008	19030081
$2597	17025973
$2360	16023604
$2361	16023611
$2362	16023628
$2363	16023635
$2364	16023642
$2365	16023659
$2366	16023666
$2367	16023673
$2368	16023680
$2369	16023697
$2370	16023703
$2371	16023710
$2373	16023734
$2374	16023741
$2375	16023758
$2376	16023765
$2377	16023772
$2378	16023789
$2379	16023796
$2380	16023802
$2381	16023819
$2385	16023857
$2386	16023864
$2388	16023888
$2393	16023932
$2394	16023949
$2395	16023956
$2396	16023963
$2397	16023970
$2398	16023987
$2399	16023994
$2400	16024007
$2401	16024014
$2402	16024021
$2403	16024038
$2404	16024045
$2405	16024052
$2407	16024076
$2409	16024090
$2410	16024106
$2412	16024120
$2413	16024137
$2415	16024151
$2416	16024168
$3395	23033955
$3397	23033979
$3398	23033986
$3403	23034037
$3405	23034051
$3406	23034068
$3409	23034099
$3411	23034112
$3412	23034129
$3414	23034143
$3415	23034150
$3416	23034167
$3417	23034174
$3418	23034181
$3419	23034198
$3420	23034204
$3421	23034211
$3422	23034228
$3424	23034242
$3425	23034259
$3426	23034266
$3427	23034273
$3428	23034280
$3430	23034303
$3431	23034310
$3432	23034327
$3433	23034334
$2457	09024571
