KOPIE DOKUMENTOW Z KAS FISKALNYCH
etykieta: 160524_153936_1501240287_8D49
od: 24.05.2016 15:39:00
do: 01.01.2021 17:22:00
nip: NIP:6412472651
data zamkniecia nosnika: 00-00-0000 00:00:00

 nr unikatowy   | nr doby | od                  | do
                |  00085  | 01.09.2016 09:24:00 | 01.09.2016 18:01:00
                |  00086  | 02.09.2016 10:18:00 | 02.09.2016 17:55:00
                |  00087  | 03.09.2016 09:15:00 | 03.09.2016 12:59:00
                |  00088  | 05.09.2016 09:54:00 | 05.09.2016 18:12:00
                |  00089  | 06.09.2016 09:12:00 | 06.09.2016 17:56:00
                |  00090  | 07.09.2016 09:34:00 | 07.09.2016 17:56:00
                |  00091  | 08.09.2016 09:42:00 | 08.09.2016 18:02:00
                |  00092  | 09.09.2016 09:41:00 | 09.09.2016 17:54:00
                |  00093  | 10.09.2016 09:08:00 | 10.09.2016 12:58:00
                |  00094  | 12.09.2016 09:14:00 | 12.09.2016 17:56:00
                |  00095  | 13.09.2016 09:41:00 | 13.09.2016 18:57:00
                |  00096  | 14.09.2016 09:14:00 | 14.09.2016 17:56:00
                |  00097  | 15.09.2016 09:25:00 | 15.09.2016 18:16:00
                |  00098  | 16.09.2016 10:05:00 | 16.09.2016 18:46:00
                |  00099  | 17.09.2016 09:18:00 | 17.09.2016 13:52:00
                |  00100  | 19.09.2016 09:24:00 | 19.09.2016 17:57:00
                |  00101  | 20.09.2016 09:34:00 | 20.09.2016 18:02:00
                |  00102  | 21.09.2016 09:46:00 | 21.09.2016 17:40:00
                |  00103  | 22.09.2016 09:31:00 | 22.09.2016 18:07:00
                |  00104  | 23.09.2016 09:40:00 | 23.09.2016 17:53:00
                |  00105  | 24.09.2016 09:03:00 | 24.09.2016 13:02:00
                |  00106  | 26.09.2016 09:15:00 | 26.09.2016 18:02:00
                |  00107  | 27.09.2016 09:32:00 | 27.09.2016 17:59:00
                |  00108  | 28.09.2016 09:08:00 | 28.09.2016 16:55:00
                |  00109  | 29.09.2016 09:32:00 | 29.09.2016 17:55:00
                |  00110  | 30.09.2016 09:37:00 | 30.09.2016 18:05:00
                |  00111  | 01.10.2016 10:16:00 | 01.10.2016 13:08:00
                |  00112  | 03.10.2016 09:17:00 | 03.10.2016 17:51:00
                |  00113  | 04.10.2016 09:21:00 | 04.10.2016 17:34:00
                |  00114  | 05.10.2016 09:16:00 | 05.10.2016 17:26:00
                |  00115  | 06.10.2016 09:36:00 | 06.10.2016 17:27:00
                |  00116  | 07.10.2016 09:34:00 | 07.10.2016 16:59:00
                |  00117  | 08.10.2016 09:15:00 | 08.10.2016 13:19:00
                |  00118  | 10.10.2016 09:46:00 | 10.10.2016 17:25:00
                |  00119  | 11.10.2016 09:41:00 | 11.10.2016 17:21:00
                |  00120  | 12.10.2016 10:00:00 | 12.10.2016 17:28:00
                |  00121  | 13.10.2016 09:31:00 | 13.10.2016 17:36:00
                |  00122  | 14.10.2016 09:46:00 | 14.10.2016 17:25:00
                |  00123  | 15.10.2016 09:37:00 | 15.10.2016 13:08:00
                |  00124  | 17.10.2016 09:49:00 | 17.10.2016 17:25:00
                |  00125  | 18.10.2016 10:08:00 | 18.10.2016 17:44:00
                |  00126  | 19.10.2016 09:26:00 | 19.10.2016 17:32:00
                |  00127  | 20.10.2016 11:04:00 | 20.10.2016 17:25:00
                |  00128  | 21.10.2016 09:35:00 | 21.10.2016 16:09:00
                |  00129  | 22.10.2016 09:25:00 | 22.10.2016 13:09:00
                |  00130  | 24.10.2016 09:24:00 | 24.10.2016 17:39:00
                |  00131  | 25.10.2016 09:53:00 | 25.10.2016 17:33:00
                |  00132  | 26.10.2016 10:33:00 | 26.10.2016 17:25:00
                |  00133  | 27.10.2016 09:43:00 | 27.10.2016 17:30:00
                |  00134  | 28.10.2016 09:57:00 | 28.10.2016 17:27:00
                |  00135  | 29.10.2016 10:13:00 | 29.10.2016 12:58:00
                |  00136  | 31.10.2016 10:46:00 | 31.10.2016 18:33:00
                |  00137  | 02.11.2016 10:28:00 | 02.11.2016 18:49:00
                |  00138  | 03.11.2016 10:36:00 | 03.11.2016 18:35:00
                |  00139  | 04.11.2016 10:52:00 | 04.11.2016 18:35:00
                |  00140  | 05.11.2016 10:30:00 | 05.11.2016 14:05:00
                |  00141  | 07.11.2016 11:23:00 | 07.11.2016 18:31:00
                |  00142  | 08.11.2016 11:39:00 | 08.11.2016 18:25:00
                |  00143  | 09.11.2016 11:10:00 | 09.11.2016 18:27:00
                |  00144  | 10.11.2016 10:57:00 | 10.11.2016 18:38:00
                |  00145  | 10.11.2016 19:10:00 | 10.11.2016 19:10:00
                |  00146  | 12.11.2016 10:44:00 | 12.11.2016 14:02:00
                |  00147  | 14.11.2016 11:14:00 | 14.11.2016 18:24:00
                |  00148  | 15.11.2016 10:41:00 | 15.11.2016 18:29:00
                |  00149  | 16.11.2016 11:03:00 | 16.11.2016 18:35:00
                |  00150  | 17.11.2016 10:46:00 | 17.11.2016 18:38:00
                |  00151  | 18.11.2016 10:55:00 | 18.11.2016 18:21:00
                |  00152  | 19.11.2016 10:12:00 | 19.11.2016 14:02:00
                |  00153  | 21.11.2016 10:51:00 | 21.11.2016 18:30:00
                |  00154  | 22.11.2016 10:30:00 | 22.11.2016 18:26:00
                |  00155  | 23.11.2016 10:44:00 | 23.11.2016 18:34:00
                |  00156  | 24.11.2016 10:34:00 | 24.11.2016 19:59:00
                |  00157  | 25.11.2016 10:44:00 | 25.11.2016 18:25:00
                |  00158  | 26.11.2016 10:41:00 | 26.11.2016 14:55:00
                |  00159  | 28.11.2016 11:07:00 | 28.11.2016 18:26:00
                |  00160  | 29.11.2016 10:56:00 | 29.11.2016 18:22:00
                |  00161  | 30.11.2016 10:38:00 | 30.11.2016 18:39:00
                |  00162  | 01.12.2016 11:23:00 | 01.12.2016 18:24:00
                |  00163  | 02.12.2016 10:36:00 | 02.12.2016 18:30:00
                |  00164  | 03.12.2016 10:25:00 | 03.12.2016 14:08:00
                |  00165  | 05.12.2016 11:09:00 | 05.12.2016 18:25:00
                |  00166  | 06.12.2016 10:37:00 | 06.12.2016 18:59:00
                |  00167  | 07.12.2016 10:37:00 | 07.12.2016 18:59:00
                |  00168  | 08.12.2016 10:36:00 | 08.12.2016 18:34:00
                |  00169  | 09.12.2016 10:38:00 | 09.12.2016 18:41:00
                |  00170  | 10.12.2016 10:09:00 | 10.12.2016 14:50:00
                |  00171  | 12.12.2016 10:31:00 | 12.12.2016 18:41:00
                |  00172  | 13.12.2016 10:38:00 | 13.12.2016 18:26:00
                |  00173  | 14.12.2016 10:39:00 | 14.12.2016 18:28:00
                |  00174  | 15.12.2016 11:03:00 | 15.12.2016 18:42:00
                |  00175  | 16.12.2016 10:37:00 | 16.12.2016 18:27:00
                |  00176  | 17.12.2016 10:19:00 | 17.12.2016 14:02:00
                |  00177  | 18.12.2016 12:05:00 | 18.12.2016 15:03:00
                |  00178  | 18.12.2016 15:28:00 | 19.12.2016 18:26:00
                |  00179  | 20.12.2016 10:39:00 | 20.12.2016 18:33:00
                |  00180  | 21.12.2016 10:36:00 | 21.12.2016 18:46:00
                |  00181  | 22.12.2016 10:54:00 | 22.12.2016 18:28:00
                |  00182  | 23.12.2016 10:48:00 | 23.12.2016 18:27:00
                |  00183  | 24.12.2016 10:42:00 | 24.12.2016 13:57:00
                |  00184  | 28.12.2016 11:05:00 | 28.12.2016 18:28:00
                |  00185  | 29.12.2016 10:42:00 | 29.12.2016 17:51:00
                |  00186  | 30.12.2016 10:51:00 | 30.12.2016 18:42:00
                |  00187  | 31.12.2016 10:41:00 | 31.12.2016 15:48:00
                |  00188  | 02.01.2017 10:57:00 | 07.01.2017 14:20:00
                |  00189  | 09.01.2017 10:46:00 | 09.01.2017 18:22:00
                |  00190  | 10.01.2017 11:08:00 | 10.01.2017 18:43:00
                |  00191  | 11.01.2017 10:53:00 | 11.01.2017 18:29:00
                |  00192  | 12.01.2017 11:01:00 | 12.01.2017 18:23:00
                |  00193  | 13.01.2017 11:38:00 | 13.01.2017 18:27:00
                |  00194  | 14.01.2017 10:26:00 | 14.01.2017 14:22:00
                |  00195  | 16.01.2017 11:05:00 | 16.01.2017 18:38:00
                |  00196  | 17.01.2017 10:43:00 | 17.01.2017 18:50:00
                |  00197  | 18.01.2017 10:44:00 | 18.01.2017 18:28:00
                |  00198  | 19.01.2017 10:34:00 | 19.01.2017 18:27:00
                |  00199  | 20.01.2017 11:02:00 | 20.01.2017 18:16:00
                |  00200  | 21.01.2017 10:26:00 | 21.01.2017 14:25:00
                |  00201  | 23.01.2017 10:45:00 | 23.01.2017 18:26:00
                |  00202  | 24.01.2017 10:55:00 | 24.01.2017 18:24:00
                |  00203  | 25.01.2017 10:45:00 | 25.01.2017 18:26:00
                |  00204  | 26.01.2017 10:37:00 | 26.01.2017 18:27:00
                |  00205  | 27.01.2017 10:50:00 | 27.01.2017 18:34:00
                |  00206  | 28.01.2017 10:17:00 | 28.01.2017 13:53:00
                |  00207  | 30.01.2017 11:00:00 | 30.01.2017 18:32:00
                |  00208  | 31.01.2017 11:12:00 | 31.01.2017 18:56:00
                |  00209  | 01.02.2017 11:03:00 | 01.02.2017 18:28:00
                |  00210  | 02.02.2017 11:31:00 | 02.02.2017 18:25:00
                |  00211  | 03.02.2017 10:31:00 | 03.02.2017 18:28:00
                |  00212  | 03.02.2017 18:31:00 | 04.02.2017 14:15:00
                |  00213  | 06.02.2017 10:48:00 | 06.02.2017 18:25:00
                |  00214  | 07.02.2017 10:34:00 | 07.02.2017 18:24:00
                |  00215  | 08.02.2017 10:45:00 | 08.02.2017 18:34:00
                |  00216  | 09.02.2017 11:10:00 | 09.02.2017 18:23:00
                |  00217  | 10.02.2017 10:39:00 | 10.02.2017 19:41:00
                |  00218  | 11.02.2017 10:14:00 | 11.02.2017 14:47:00
                |  00219  | 13.02.2017 11:26:00 | 13.02.2017 18:32:00
                |  00220  | 14.02.2017 11:09:00 | 14.02.2017 18:46:00
                |  00221  | 15.02.2017 10:37:00 | 15.02.2017 19:07:00
                |  00222  | 16.02.2017 11:00:00 | 16.02.2017 17:17:00
                |  00223  | 17.02.2017 10:59:00 | 17.02.2017 18:36:00
                |  00224  | 18.02.2017 10:31:00 | 18.02.2017 14:01:00
                |  00225  | 20.02.2017 11:52:00 | 21.02.2017 10:33:00
                |  00226  | 21.02.2017 09:42:00 | 21.02.2017 17:41:00
                |  00227  | 22.02.2017 09:39:00 | 22.02.2017 17:31:00
                |  00228  | 23.02.2017 09:43:00 | 23.02.2017 17:35:00
                |  00229  | 24.02.2017 09:39:00 | 24.02.2017 17:27:00
                |  00230  | 25.02.2017 09:54:00 | 25.02.2017 12:57:00
                |  00231  | 27.02.2017 09:52:00 | 27.02.2017 16:53:00
                |  00232  | 28.02.2017 09:58:00 | 28.02.2017 17:25:00
                |  00233  | 28.02.2017 17:31:00 | 01.03.2017 17:25:00
                |  00234  | 02.03.2017 09:32:00 | 02.03.2017 17:53:00
                |  00235  | 03.03.2017 09:47:00 | 03.03.2017 18:10:00
                |  00236  | 04.03.2017 09:22:00 | 04.03.2017 13:04:00
                |  00237  | 06.03.2017 09:59:00 | 06.03.2017 17:28:00
                |  00238  | 07.03.2017 10:21:00 | 07.03.2017 17:27:00
                |  00239  | 08.03.2017 09:50:00 | 08.03.2017 17:34:00
                |  00240  | 09.03.2017 09:48:00 | 09.03.2017 17:27:00
                |  00241  | 10.03.2017 09:47:00 | 10.03.2017 17:29:00
                |  00242  | 11.03.2017 09:06:00 | 11.03.2017 13:16:00
                |  00243  | 13.03.2017 09:37:00 | 13.03.2017 17:39:00
                |  00244  | 14.03.2017 09:32:00 | 14.03.2017 17:28:00
                |  00245  | 15.03.2017 09:32:00 | 15.03.2017 17:26:00
                |  00246  | 16.03.2017 09:54:00 | 16.03.2017 17:27:00
