KOPIE DOKUMENTOW Z KAS FISKALNYCH
etykieta: 160524_153936_1501240287_8D49
od: 24.05.2016 15:39:00
do: 01.01.2021 17:22:00
nip: NIP:6412472651
data zamkniecia nosnika: 00-00-0000 00:00:00

 nr unikatowy   | nr doby | od                  | do
                |  00374  | 29.08.2017 09:56:00 | 29.08.2017 17:28:00
                |  00375  | 30.08.2017 10:41:00 | 30.08.2017 18:56:00
                |  00376  | 31.08.2017 09:33:00 | 31.08.2017 17:25:00
                |  00377  | 01.09.2017 09:40:00 | 01.09.2017 18:25:00
                |  00378  | 02.09.2017 09:09:00 | 02.09.2017 13:07:00
                |  00379  | 04.09.2017 09:45:00 | 04.09.2017 17:28:00
                |  00380  | 05.09.2017 10:32:00 | 05.09.2017 17:34:00
                |  00381  | 06.09.2017 10:12:00 | 06.09.2017 17:34:00
                |  00382  | 07.09.2017 10:30:00 | 07.09.2017 17:32:00
                |  00383  | 08.09.2017 10:21:00 | 08.09.2017 17:29:00
                |  00384  | 09.09.2017 09:15:00 | 09.09.2017 13:08:00
                |  00385  | 11.09.2017 09:35:00 | 11.09.2017 18:30:00
                |  00386  | 12.09.2017 09:41:00 | 12.09.2017 17:30:00
                |  00387  | 13.09.2017 10:15:00 | 13.09.2017 17:41:00
                |  00388  | 14.09.2017 09:32:00 | 14.09.2017 17:37:00
                |  00389  | 15.09.2017 10:17:00 | 15.09.2017 17:32:00
                |  00390  | 16.09.2017 09:39:00 | 16.09.2017 12:57:00
                |  00391  | 18.09.2017 09:54:00 | 18.09.2017 18:40:00
                |  00392  | 19.09.2017 09:36:00 | 19.09.2017 17:30:00
                |  00393  | 20.09.2017 09:37:00 | 20.09.2017 17:27:00
                |  00394  | 21.09.2017 10:06:00 | 21.09.2017 17:28:00
                |  00395  | 22.09.2017 10:54:00 | 22.09.2017 18:19:00
                |  00396  | 23.09.2017 09:41:00 | 23.09.2017 13:14:00
                |  00397  | 25.09.2017 09:41:00 | 25.09.2017 18:27:00
                |  00398  | 26.09.2017 09:57:00 | 26.09.2017 17:45:00
                |  00399  | 27.09.2017 09:40:00 | 27.09.2017 17:27:00
                |  00400  | 28.09.2017 09:38:00 | 28.09.2017 17:31:00
                |  00401  | 29.09.2017 10:17:00 | 29.09.2017 17:28:00
                |  00402  | 30.09.2017 09:38:00 | 30.09.2017 13:24:00
                |  00403  | 02.10.2017 11:05:00 | 02.10.2017 18:30:00
                |  00404  | 03.10.2017 09:57:00 | 03.10.2017 17:42:00
                |  00405  | 04.10.2017 09:32:00 | 04.10.2017 17:32:00
                |  00406  | 04.10.2017 17:33:00 | 05.10.2017 17:26:00
                |  00407  | 06.10.2017 09:32:00 | 06.10.2017 17:29:00
                |  00408  | 07.10.2017 09:14:00 | 07.10.2017 13:08:00
                |  00409  | 09.10.2017 09:53:00 | 09.10.2017 18:26:00
                |  00410  | 10.10.2017 09:51:00 | 10.10.2017 17:37:00
                |  00411  | 11.10.2017 09:34:00 | 11.10.2017 17:29:00
                |  00412  | 12.10.2017 09:33:00 | 12.10.2017 17:31:00
                |  00413  | 13.10.2017 09:44:00 | 13.10.2017 17:28:00
                |  00414  | 14.10.2017 09:11:00 | 14.10.2017 13:09:00
                |  00415  | 16.10.2017 10:16:00 | 16.10.2017 18:31:00
                |  00416  | 17.10.2017 09:39:00 | 17.10.2017 17:25:00
                |  00417  | 18.10.2017 09:44:00 | 18.10.2017 17:36:00
                |  00418  | 19.10.2017 13:09:00 | 19.10.2017 17:36:00
                |  00419  | 20.10.2017 09:39:00 | 20.10.2017 17:57:00
                |  00420  | 21.10.2017 09:34:00 | 21.10.2017 13:01:00
                |  00421  | 23.10.2017 09:48:00 | 23.10.2017 18:30:00
                |  00422  | 24.10.2017 09:51:00 | 24.10.2017 17:28:00
                |  00423  | 25.10.2017 10:05:00 | 25.10.2017 17:27:00
                |  00424  | 26.10.2017 09:35:00 | 26.10.2017 17:25:00
                |  00425  | 27.10.2017 10:06:00 | 27.10.2017 17:29:00
                |  00426  | 28.10.2017 10:04:00 | 28.10.2017 13:00:00
                |  00427  | 30.10.2017 10:33:00 | 30.10.2017 19:28:00
                |  00428  | 31.10.2017 10:52:00 | 31.10.2017 18:28:00
                |  00429  | 02.11.2017 10:40:00 | 02.11.2017 18:29:00
                |  00430  | 03.11.2017 10:34:00 | 03.11.2017 18:28:00
                |  00431  | 04.11.2017 10:16:00 | 04.11.2017 13:58:00
                |  00432  | 04.11.2017 14:02:00 | 06.11.2017 19:31:00
                |  00433  | 07.11.2017 10:32:00 | 07.11.2017 18:30:00
                |  00434  | 08.11.2017 10:33:00 | 08.11.2017 18:29:00
                |  00435  | 09.11.2017 10:49:00 | 09.11.2017 18:31:00
                |  00436  | 10.11.2017 10:41:00 | 10.11.2017 18:30:00
                |  00437  | 13.11.2017 10:34:00 | 13.11.2017 19:58:00
                |  00438  | 13.11.2017 18:58:00 | 14.11.2017 17:30:00
                |  00439  | 15.11.2017 09:40:00 | 15.11.2017 17:37:00
                |  00440  | 16.11.2017 10:32:00 | 16.11.2017 17:29:00
                |  00441  | 17.11.2017 10:31:00 | 17.11.2017 17:32:00
                |  00442  | 18.11.2017 09:12:00 | 18.11.2017 13:14:00
                |  00443  | 20.11.2017 09:37:00 | 20.11.2017 18:26:00
                |  00444  | 21.11.2017 09:36:00 | 21.11.2017 17:35:00
                |  00445  | 22.11.2017 10:07:00 | 22.11.2017 17:29:00
                |  00446  | 23.11.2017 09:37:00 | 23.11.2017 17:33:00
                |  00447  | 24.11.2017 09:51:00 | 24.11.2017 17:35:00
                |  00448  | 25.11.2017 09:41:00 | 25.11.2017 13:33:00
                |  00449  | 27.11.2017 09:57:00 | 27.11.2017 18:26:00
                |  00450  | 28.11.2017 09:14:00 | 28.11.2017 17:36:00
                |  00451  | 29.11.2017 10:13:00 | 29.11.2017 17:28:00
                |  00452  | 30.11.2017 11:25:00 | 30.11.2017 17:30:00
                |  00453  | 01.12.2017 09:40:00 | 01.12.2017 17:46:00
                |  00454  | 02.12.2017 09:21:00 | 02.12.2017 13:08:00
                |  00455  | 04.12.2017 09:34:00 | 04.12.2017 18:29:00
                |  00456  | 04.12.2017 18:44:00 | 05.12.2017 17:36:00
                |  00457  | 06.12.2017 10:16:00 | 06.12.2017 17:38:00
                |  00458  | 07.12.2017 10:14:00 | 07.12.2017 17:35:00
                |  00459  | 08.12.2017 10:00:00 | 08.12.2017 17:28:00
                |  00460  | 09.12.2017 10:00:00 | 09.12.2017 13:46:00
                |  00461  | 11.12.2017 09:43:00 | 11.12.2017 18:33:00
                |  00462  | 12.12.2017 09:43:00 | 12.12.2017 17:25:00
                |  00463  | 13.12.2017 09:39:00 | 13.12.2017 17:35:00
                |  00464  | 14.12.2017 09:47:00 | 14.12.2017 17:25:00
                |  00465  | 15.12.2017 09:38:00 | 15.12.2017 17:31:00
                |  00466  | 16.12.2017 09:12:00 | 16.12.2017 15:07:00
                |  00467  | 17.12.2017 10:35:00 | 17.12.2017 14:09:00
                |  00468  | 18.12.2017 09:34:00 | 18.12.2017 18:36:00
                |  00469  | 19.12.2017 09:59:00 | 19.12.2017 17:48:00
                |  00470  | 20.12.2017 10:12:00 | 20.12.2017 17:39:00
                |  00471  | 21.12.2017 09:40:00 | 21.12.2017 17:39:00
                |  00472  | 22.12.2017 09:51:00 | 22.12.2017 18:23:00
                |  00473  | 23.12.2017 09:13:00 | 23.12.2017 14:36:00
                |  00474  | 24.12.2017 09:21:00 | 24.12.2017 13:35:00
                |  00475  | 28.12.2017 10:00:00 | 28.12.2017 17:24:00
                |  00476  | 29.12.2017 10:04:00 | 29.12.2017 17:26:00
                |  00477  | 30.12.2017 09:18:00 | 30.12.2017 13:03:00
                |  00478  | 01.01.2018 18:14:00 | 08.01.2018 18:26:00
                |  00479  | 09.01.2018 09:33:00 | 09.01.2018 17:37:00
                |  00480  | 10.01.2018 09:49:00 | 10.01.2018 17:27:00
                |  00481  | 10.01.2018 17:35:00 | 11.01.2018 17:25:00
                |  00482  | 12.01.2018 10:45:00 | 12.01.2018 17:25:00
                |  00483  | 13.01.2018 09:53:00 | 13.01.2018 13:10:00
                |  00484  | 15.01.2018 09:36:00 | 15.01.2018 18:26:00
                |  00485  | 16.01.2018 10:08:00 | 16.01.2018 18:19:00
                |  00486  | 17.01.2018 09:52:00 | 17.01.2018 17:33:00
                |  00487  | 18.01.2018 09:52:00 | 18.01.2018 17:34:00
                |  00488  | 19.01.2018 09:28:00 | 19.01.2018 17:39:00
                |  00489  | 20.01.2018 09:23:00 | 20.01.2018 13:05:00
                |  00490  | 22.01.2018 09:37:00 | 22.01.2018 18:27:00
                |  00491  | 23.01.2018 09:32:00 | 23.01.2018 17:36:00
                |  00492  | 24.01.2018 10:52:00 | 24.01.2018 17:30:00
                |  00493  | 25.01.2018 10:05:00 | 25.01.2018 17:28:00
                |  00494  | 26.01.2018 09:28:00 | 26.01.2018 17:25:00
                |  00495  | 27.01.2018 09:18:00 | 27.01.2018 13:40:00
                |  00496  | 29.01.2018 10:34:00 | 29.01.2018 18:26:00
                |  00497  | 30.01.2018 10:53:00 | 30.01.2018 17:27:00
                |  00498  | 31.01.2018 09:32:00 | 31.01.2018 17:41:00
                |  00499  | 01.02.2018 09:35:00 | 01.02.2018 17:27:00
                |  00500  | 01.02.2018 17:33:00 | 02.02.2018 17:41:00
                |  00501  | 03.02.2018 09:39:00 | 03.02.2018 13:04:00
                |  00502  | 05.02.2018 09:49:00 | 05.02.2018 18:28:00
                |  00503  | 06.02.2018 09:50:00 | 06.02.2018 17:30:00
                |  00504  | 07.02.2018 09:40:00 | 07.02.2018 18:01:00
                |  00505  | 08.02.2018 09:29:00 | 08.02.2018 17:45:00
                |  00506  | 09.02.2018 09:29:00 | 09.02.2018 17:38:00
                |  00507  | 10.02.2018 09:55:00 | 10.02.2018 13:26:00
                |  00508  | 12.02.2018 09:48:00 | 12.02.2018 18:25:00
                |  00509  | 13.02.2018 09:46:00 | 13.02.2018 17:33:00
                |  00510  | 14.02.2018 10:12:00 | 14.02.2018 17:36:00
                |  00511  | 15.02.2018 09:49:00 | 15.02.2018 17:27:00
                |  00512  | 16.02.2018 10:13:00 | 16.02.2018 17:29:00
                |  00513  | 17.02.2018 09:31:00 | 17.02.2018 13:11:00
                |  00514  | 19.02.2018 09:40:00 | 19.02.2018 18:25:00
                |  00515  | 20.02.2018 10:05:00 | 20.02.2018 17:39:00
                |  00516  | 21.02.2018 09:52:00 | 21.02.2018 17:26:00
                |  00517  | 22.02.2018 09:56:00 | 22.02.2018 17:28:00
                |  00518  | 23.02.2018 09:42:00 | 23.02.2018 17:28:00
                |  00519  | 24.02.2018 09:21:00 | 24.02.2018 12:54:00
                |  00520  | 26.02.2018 09:36:00 | 26.02.2018 18:30:00
                |  00521  | 27.02.2018 10:54:00 | 27.02.2018 17:40:00
                |  00522  | 28.02.2018 09:37:00 | 28.02.2018 17:30:00
                |  00523  | 01.03.2018 10:42:00 | 01.03.2018 17:33:00
                |  00524  | 02.03.2018 09:39:00 | 02.03.2018 17:26:00
                |  00525  | 02.03.2018 17:30:00 | 03.03.2018 13:03:00
                |  00526  | 05.03.2018 10:13:00 | 05.03.2018 18:25:00
                |  00527  | 06.03.2018 09:29:00 | 06.03.2018 17:26:00
                |  00528  | 07.03.2018 09:34:00 | 07.03.2018 17:26:00
                |  00529  | 08.03.2018 09:36:00 | 08.03.2018 17:29:00
                |  00530  | 09.03.2018 09:31:00 | 09.03.2018 17:39:00
                |  00531  | 10.03.2018 09:27:00 | 10.03.2018 12:59:00
                |  00532  | 12.03.2018 09:42:00 | 12.03.2018 18:37:00
                |  00533  | 13.03.2018 09:51:00 | 13.03.2018 17:28:00
                |  00534  | 14.03.2018 11:30:00 | 14.03.2018 17:23:00
                |  00535  | 15.03.2018 10:21:00 | 15.03.2018 17:45:00
                |  00536  | 16.03.2018 09:39:00 | 16.03.2018 17:35:00
                |  00537  | 17.03.2018 09:30:00 | 17.03.2018 13:07:00
                |  00538  | 19.03.2018 09:40:00 | 19.03.2018 18:29:00
                |  00539  | 20.03.2018 09:57:00 | 20.03.2018 17:36:00
                |  00540  | 21.03.2018 09:36:00 | 21.03.2018 17:35:00
                |  00541  | 22.03.2018 09:39:00 | 22.03.2018 17:22:00
                |  00542  | 23.03.2018 10:29:00 | 23.03.2018 17:23:00
                |  00543  | 24.03.2018 09:39:00 | 24.03.2018 13:17:00
                |  00544  | 26.03.2018 09:20:00 | 26.03.2018 17:32:00
                |  00545  | 26.03.2018 16:33:00 | 27.03.2018 15:46:00
                |  00546  | 27.03.2018 16:06:00 | 28.03.2018 17:46:00
                |  00547  | 28.03.2018 18:58:00 | 29.03.2018 16:49:00
                |  00548  | 29.03.2018 18:03:00 | 30.03.2018 17:45:00
                |  00549  | 31.03.2018 09:44:00 | 31.03.2018 13:25:00
                |  00550  | 03.04.2018 10:23:00 | 03.04.2018 17:46:00
                |  00551  | 03.04.2018 17:56:00 | 04.04.2018 17:59:00
                |  00552  | 05.04.2018 10:21:00 | 05.04.2018 17:39:00
                |  00553  | 06.04.2018 10:06:00 | 06.04.2018 17:40:00
                |  00554  | 07.04.2018 09:23:00 | 07.04.2018 14:12:00
                |  00555  | 09.04.2018 09:47:00 | 09.04.2018 18:35:00
                |  00556  | 10.04.2018 09:59:00 | 10.04.2018 17:39:00
                |  00557  | 11.04.2018 09:43:00 | 11.04.2018 17:37:00
                |  00558  | 12.04.2018 10:06:00 | 12.04.2018 17:41:00
                |  00559  | 13.04.2018 09:41:00 | 13.04.2018 17:42:00
                |  00560  | 14.04.2018 09:29:00 | 14.04.2018 13:12:00
                |  00561  | 16.04.2018 10:00:00 | 16.04.2018 18:31:00
                |  00562  | 17.04.2018 09:40:00 | 17.04.2018 17:36:00
                |  00563  | 18.04.2018 10:34:00 | 18.04.2018 17:36:00
                |  00564  | 19.04.2018 10:22:00 | 19.04.2018 17:32:00
                |  00565  | 20.04.2018 09:45:00 | 20.04.2018 19:50:00
                |  00566  | 21.04.2018 09:53:00 | 21.04.2018 13:21:00
                |  00567  | 23.04.2018 09:42:00 | 23.04.2018 18:42:00
                |  00568  | 24.04.2018 09:45:00 | 24.04.2018 17:35:00
                |  00569  | 25.04.2018 09:55:00 | 25.04.2018 17:34:00
                |  00570  | 26.04.2018 10:01:00 | 26.04.2018 17:34:00
                |  00571  | 27.04.2018 10:05:00 | 27.04.2018 15:09:00
                |  00572  | 27.04.2018 15:15:00 | 27.04.2018 17:40:00
                |  00573  | 27.04.2018 17:56:00 | 28.04.2018 13:03:00
                |  00574  | 30.04.2018 09:39:00 | 30.04.2018 18:27:00
                |  00575  | 04.05.2018 09:55:00 | 04.05.2018 17:28:00
                |  00576  | 04.05.2018 17:47:00 | 05.05.2018 13:20:00
                |  00577  | 07.05.2018 10:18:00 | 07.05.2018 18:38:00
                |  00578  | 08.05.2018 09:48:00 | 08.05.2018 17:33:00
                |  00579  | 09.05.2018 09:40:00 | 09.05.2018 17:32:00
                |  00580  | 10.05.2018 09:49:00 | 10.05.2018 17:30:00
                |  00581  | 11.05.2018 09:43:00 | 11.05.2018 17:30:00
                |  00582  | 12.05.2018 09:36:00 | 12.05.2018 13:30:00
                |  00583  | 14.05.2018 10:12:00 | 14.05.2018 18:30:00
                |  00584  | 15.05.2018 09:53:00 | 15.05.2018 17:31:00
                |  00585  | 16.05.2018 09:46:00 | 16.05.2018 17:34:00
                |  00586  | 17.05.2018 09:48:00 | 17.05.2018 17:52:00
                |  00587  | 18.05.2018 10:19:00 | 18.05.2018 17:36:00
                |  00588  | 19.05.2018 09:41:00 | 19.05.2018 13:21:00
                |  00589  | 21.05.2018 10:11:00 | 21.05.2018 18:27:00
                |  00590  | 22.05.2018 09:49:00 | 22.05.2018 17:49:00
                |  00591  | 23.05.2018 09:25:00 | 23.05.2018 17:36:00
                |  00592  | 24.05.2018 10:05:00 | 24.05.2018 17:32:00
                |  00593  | 25.05.2018 09:44:00 | 25.05.2018 17:56:00
                |  00594  | 26.05.2018 09:20:00 | 26.05.2018 13:38:00
                |  00595  | 28.05.2018 09:38:00 | 28.05.2018 18:28:00
                |  00596  | 29.05.2018 09:44:00 | 29.05.2018 17:48:00
                |  00597  | 30.05.2018 10:18:00 | 30.05.2018 17:30:00
                |  00598  | 01.06.2018 09:33:00 | 01.06.2018 17:38:00
                |  00599  | 02.06.2018 09:47:00 | 02.06.2018 13:15:00
                |  00600  | 04.06.2018 09:44:00 | 04.06.2018 18:37:00
                |  00601  | 04.06.2018 19:13:00 | 05.06.2018 17:30:00
                |  00602  | 06.06.2018 09:48:00 | 06.06.2018 17:29:00
                |  00603  | 07.06.2018 10:21:00 | 07.06.2018 17:30:00
                |  00604  | 08.06.2018 09:48:00 | 08.06.2018 17:34:00
                |  00605  | 08.06.2018 17:52:00 | 09.06.2018 13:00:00
                |  00606  | 11.06.2018 09:46:00 | 11.06.2018 18:26:00
                |  00607  | 12.06.2018 09:54:00 | 12.06.2018 17:30:00
                |  00608  | 13.06.2018 09:51:00 | 13.06.2018 17:29:00
                |  00609  | 14.06.2018 10:22:00 | 14.06.2018 17:27:00
                |  00610  | 15.06.2018 09:19:00 | 15.06.2018 17:30:00
                |  00611  | 16.06.2018 09:15:00 | 16.06.2018 13:04:00
                |  00612  | 18.06.2018 09:54:00 | 18.06.2018 18:32:00
                |  00613  | 19.06.2018 10:23:00 | 19.06.2018 17:31:00
                |  00614  | 20.06.2018 09:38:00 | 20.06.2018 17:32:00
                |  00615  | 21.06.2018 09:41:00 | 21.06.2018 16:15:00
                |  00616  | 22.06.2018 10:57:00 | 22.06.2018 17:35:00
                |  00617  | 23.06.2018 09:53:00 | 23.06.2018 12:58:00
                |  00618  | 25.06.2018 09:32:00 | 25.06.2018 18:32:00
                |  00619  | 26.06.2018 10:05:00 | 26.06.2018 17:38:00
                |  00620  | 27.06.2018 09:46:00 | 27.06.2018 17:28:00
                |  00621  | 28.06.2018 10:33:00 | 28.06.2018 17:32:00
                |  00622  | 29.06.2018 09:48:00 | 29.06.2018 17:42:00
                |  00623  | 30.06.2018 09:32:00 | 30.06.2018 13:13:00
                |  00624  | 02.07.2018 09:41:00 | 02.07.2018 18:29:00
                |  00625  | 02.07.2018 18:30:00 | 03.07.2018 17:43:00
                |  00626  | 04.07.2018 09:48:00 | 04.07.2018 17:45:00
                |  00627  | 05.07.2018 09:43:00 | 05.07.2018 17:51:00
                |  00628  | 06.07.2018 09:39:00 | 06.07.2018 17:33:00
                |  00629  | 07.07.2018 09:22:00 | 07.07.2018 13:18:00
                |  00630  | 09.07.2018 09:50:00 | 09.07.2018 18:35:00
                |  00631  | 10.07.2018 09:50:00 | 10.07.2018 17:33:00
                |  00632  | 11.07.2018 10:16:00 | 11.07.2018 17:40:00
                |  00633  | 12.07.2018 09:43:00 | 12.07.2018 17:32:00
                |  00634  | 13.07.2018 09:54:00 | 13.07.2018 17:05:00
                |  00635  | 14.07.2018 09:50:00 | 14.07.2018 13:30:00
                |  00636  | 16.07.2018 09:42:00 | 16.07.2018 18:44:00
                |  00637  | 17.07.2018 13:51:00 | 17.07.2018 17:38:00
                |  00638  | 18.07.2018 09:55:00 | 18.07.2018 17:27:00
                |  00639  | 26.07.2018 10:00:00 | 26.07.2018 17:42:00
                |  00640  | 27.07.2018 10:15:00 | 27.07.2018 17:33:00
                |  00641  | 28.07.2018 09:45:00 | 28.07.2018 13:09:00
                |  00642  | 30.07.2018 10:01:00 | 30.07.2018 18:30:00
                |  00643  | 31.07.2018 09:59:00 | 31.07.2018 18:01:00
                |  00644  | 01.08.2018 10:16:00 | 01.08.2018 17:33:00
                |  00645  | 02.08.2018 09:52:00 | 02.08.2018 17:42:00
                |  00646  | 03.08.2018 10:27:00 | 03.08.2018 17:42:00
                |  00647  | 04.08.2018 09:41:00 | 04.08.2018 13:05:00
                |  00648  | 06.08.2018 09:42:00 | 06.08.2018 18:34:00
                |  00649  | 07.08.2018 09:39:00 | 07.08.2018 18:16:00
                |  00650  | 08.08.2018 09:46:00 | 08.08.2018 17:40:00
                |  00651  | 09.08.2018 09:45:00 | 09.08.2018 17:48:00
                |  00652  | 10.08.2018 10:05:00 | 10.08.2018 17:28:00
                |  00653  | 11.08.2018 09:12:00 | 11.08.2018 13:08:00
                |  00654  | 13.08.2018 10:26:00 | 13.08.2018 18:24:00
                |  00655  | 14.08.2018 09:38:00 | 14.08.2018 17:40:00
                |  00656  | 14.08.2018 18:18:00 | 16.08.2018 17:26:00
                |  00657  | 17.08.2018 09:38:00 | 17.08.2018 17:33:00
                |  00658  | 18.08.2018 09:44:00 | 18.08.2018 13:08:00
                |  00659  | 20.08.2018 09:44:00 | 20.08.2018 18:29:00
                |  00660  | 21.08.2018 10:00:00 | 21.08.2018 17:34:00
                |  00661  | 22.08.2018 09:51:00 | 22.08.2018 17:41:00
                |  00662  | 23.08.2018 10:28:00 | 23.08.2018 17:41:00
                |  00663  | 24.08.2018 09:45:00 | 24.08.2018 17:28:00
                |  00664  | 25.08.2018 09:49:00 | 25.08.2018 12:59:00
                |  00665  | 27.08.2018 10:08:00 | 27.08.2018 18:22:00
                |  00666  | 28.08.2018 09:43:00 | 28.08.2018 17:28:00
                |  00667  | 29.08.2018 10:01:00 | 29.08.2018 18:00:00
                |  00668  | 30.08.2018 10:01:00 | 30.08.2018 17:26:00
                |  00669  | 31.08.2018 09:47:00 | 31.08.2018 17:38:00
                |  00670  | 01.09.2018 09:15:00 | 01.09.2018 12:59:00
                |  00671  | 03.09.2018 10:28:00 | 03.09.2018 17:27:00
                |  00672  | 04.09.2018 09:58:00 | 04.09.2018 18:05:00
                |  00673  | 05.09.2018 09:31:00 | 05.09.2018 16:56:00
                |  00674  | 05.09.2018 17:03:00 | 06.09.2018 17:33:00
                |  00675  | 07.09.2018 09:36:00 | 07.09.2018 17:37:00
                |  00676  | 08.09.2018 09:01:00 | 08.09.2018 13:02:00
                |  00677  | 10.09.2018 10:16:00 | 10.09.2018 18:28:00
                |  00678  | 11.09.2018 10:08:00 | 11.09.2018 17:43:00
                |  00679  | 12.09.2018 09:51:00 | 12.09.2018 17:49:00
                |  00680  | 13.09.2018 09:37:00 | 13.09.2018 17:31:00
                |  00681  | 14.09.2018 09:40:00 | 14.09.2018 17:29:00
                |  00682  | 15.09.2018 09:23:00 | 15.09.2018 13:12:00
                |  00683  | 17.09.2018 09:50:00 | 17.09.2018 18:24:00
                |  00684  | 18.09.2018 10:07:00 | 18.09.2018 17:28:00
                |  00685  | 19.09.2018 09:39:00 | 19.09.2018 17:42:00
                |  00686  | 20.09.2018 09:48:00 | 20.09.2018 17:24:00
                |  00687  | 21.09.2018 09:47:00 | 21.09.2018 18:09:00
                |  00688  | 22.09.2018 09:18:00 | 22.09.2018 13:16:00
                |  00689  | 24.09.2018 09:39:00 | 24.09.2018 18:26:00
                |  00690  | 25.09.2018 09:58:00 | 25.09.2018 17:26:00
                |  00691  | 26.09.2018 09:42:00 | 26.09.2018 17:25:00
                |  00692  | 27.09.2018 09:45:00 | 27.09.2018 18:29:00
                |  00693  | 28.09.2018 10:15:00 | 28.09.2018 17:32:00
                |  00694  | 29.09.2018 09:14:00 | 29.09.2018 13:10:00
                |  00695  | 01.10.2018 09:52:00 | 01.10.2018 18:28:00
                |  00696  | 01.10.2018 19:21:00 | 02.10.2018 17:33:00
                |  00697  | 03.10.2018 10:18:00 | 03.10.2018 17:26:00
                |  00698  | 04.10.2018 09:40:00 | 04.10.2018 17:46:00
                |  00699  | 05.10.2018 09:43:00 | 05.10.2018 17:42:00
                |  00700  | 06.10.2018 09:30:00 | 06.10.2018 13:00:00
                |  00701  | 08.10.2018 10:00:00 | 08.10.2018 18:23:00
                |  00702  | 09.10.2018 10:33:00 | 09.10.2018 17:33:00
                |  00703  | 10.10.2018 09:41:00 | 10.10.2018 17:28:00
                |  00704  | 11.10.2018 09:44:00 | 11.10.2018 17:29:00
                |  00705  | 12.10.2018 09:37:00 | 12.10.2018 17:28:00
                |  00706  | 13.10.2018 09:16:00 | 13.10.2018 13:03:00
                |  00707  | 15.10.2018 10:02:00 | 15.10.2018 18:27:00
                |  00708  | 16.10.2018 10:11:00 | 16.10.2018 17:47:00
                |  00709  | 17.10.2018 10:07:00 | 17.10.2018 16:21:00
                |  00710  | 18.10.2018 10:29:00 | 18.10.2018 17:29:00
                |  00711  | 19.10.2018 10:21:00 | 19.10.2018 17:30:00
                |  00712  | 20.10.2018 09:29:00 | 20.10.2018 13:01:00
                |  00713  | 22.10.2018 09:42:00 | 22.10.2018 18:36:00
                |  00714  | 23.10.2018 09:56:00 | 23.10.2018 17:26:00
                |  00715  | 24.10.2018 10:37:00 | 24.10.2018 17:27:00
                |  00716  | 25.10.2018 09:44:00 | 25.10.2018 17:30:00
                |  00717  | 26.10.2018 09:40:00 | 26.10.2018 17:37:00
                |  00718  | 27.10.2018 09:01:00 | 27.10.2018 13:27:00
                |  00719  | 29.10.2018 11:02:00 | 29.10.2018 19:29:00
                |  00720  | 29.10.2018 18:41:00 | 30.10.2018 17:35:00
                |  00721  | 31.10.2018 09:41:00 | 31.10.2018 17:27:00
                |  00722  | 02.11.2018 09:49:00 | 02.11.2018 17:31:00
                |  00723  | 02.11.2018 17:32:00 | 03.11.2018 12:53:00
                |  00724  | 05.11.2018 09:37:00 | 05.11.2018 18:27:00
                |  00725  | 06.11.2018 09:42:00 | 06.11.2018 17:35:00
                |  00726  | 07.11.2018 09:44:00 | 07.11.2018 17:27:00
                |  00727  | 08.11.2018 09:50:00 | 08.11.2018 17:27:00
                |  00728  | 09.11.2018 10:00:00 | 09.11.2018 17:26:00
                |  00729  | 10.11.2018 10:43:00 | 10.11.2018 13:01:00
                |  00730  | 12.11.2018 09:57:00 | 12.11.2018 17:14:00
                |  00731  | 13.11.2018 10:02:00 | 13.11.2018 17:33:00
                |  00732  | 14.11.2018 09:41:00 | 14.11.2018 17:46:00
                |  00733  | 15.11.2018 09:44:00 | 15.11.2018 17:30:00
                |  00734  | 16.11.2018 09:29:00 | 16.11.2018 17:27:00
                |  00735  | 17.11.2018 09:42:00 | 17.11.2018 13:48:00
                |  00736  | 19.11.2018 10:37:00 | 19.11.2018 18:26:00
                |  00737  | 20.11.2018 10:29:00 | 20.11.2018 17:38:00
                |  00738  | 21.11.2018 09:48:00 | 21.11.2018 18:31:00
                |  00739  | 22.11.2018 09:45:00 | 22.11.2018 17:29:00
                |  00740  | 23.11.2018 09:40:00 | 23.11.2018 17:27:00
                |  00741  | 24.11.2018 09:29:00 | 24.11.2018 13:06:00
                |  00742  | 24.11.2018 13:13:00 | 26.11.2018 18:38:00
                |  00743  | 27.11.2018 09:49:00 | 27.11.2018 17:37:00
                |  00744  | 28.11.2018 09:40:00 | 28.11.2018 17:28:00
                |  00745  | 29.11.2018 09:34:00 | 29.11.2018 17:30:00
                |  00746  | 30.11.2018 09:49:00 | 30.11.2018 17:26:00
                |  00747  | 01.12.2018 09:34:00 | 01.12.2018 13:25:00
                |  00748  | 01.12.2018 13:59:00 | 03.12.2018 18:33:00
                |  00749  | 04.12.2018 09:32:00 | 04.12.2018 17:28:00
                |  00750  | 05.12.2018 09:53:00 | 05.12.2018 17:27:00
                |  00751  | 06.12.2018 09:53:00 | 06.12.2018 17:28:00
                |  00752  | 07.12.2018 09:39:00 | 07.12.2018 17:29:00
                |  00753  | 08.12.2018 10:02:00 | 08.12.2018 13:10:00
                |  00754  | 10.12.2018 10:02:00 | 10.12.2018 18:27:00
                |  00755  | 11.12.2018 10:06:00 | 11.12.2018 17:26:00
                |  00756  | 12.12.2018 09:51:00 | 12.12.2018 17:43:00
                |  00757  | 13.12.2018 09:38:00 | 13.12.2018 18:02:00
                |  00758  | 14.12.2018 09:43:00 | 14.12.2018 17:58:00
