#1
#1
#1
$4132	10000632
$4130	10000618
$3020	20030209
$3021	10004302
$4311	10003671
$3023	10003688
$3024	10003695
$3025	10003701
$3026	20030261
$3027	20030278
$3028	10003718
$3029	20030292
$3031	20030315
$3032	20030322
$4313	10003749
$3034	20030346
$3037	10003763
$3039	20030391
$3040	20030407
$3043	10003831
$4318	10003879
$3045	20030452
$3046	20030469
$3047	20030476
$3048	20030483
$3049	20030490
$3050	20030506
$3051	10004043
$3052	20030520
$3053	20030537
$4315	10003800
$3056	20030568
$3057	20030575
$3058	10003893
$3061	20030612
$3062	20030629
$4323	10004166
$3064	20030643
$3065	20030650
$4329	10004241
$3069	20030698
$3071	10003596
$3072	10003602
$3075	20030759
$3077	20030773
$3078	20030780
$3079	20030797
$4312	10003732
$3085	20030858
$3087	10003794
$4317	10003862
$3091	10003909
$3083	10003916
$3089	10003961
$3094	20030940
$3095	10003985
$3096	20030964
$3097	10003992
$3098	20030988
$3099	20030995
$3101	20031015
$3102	10004067
$3092	10004081
$3105	20031053
$3107	10004104
$3108	20031084
$3093	20031107
$3111	20031114
$3115	20031152
$3117	20031176
$3118	10003640
$3119	20031190
$3120	20031206
$3121	10003787
$3123	20031237
$3124	20031244
$3126	20031268
$3127	20031275
$3129	10004050
$4320	10004111
$3133	10004135
$4321	10004142
$3135	20031350
$3136	20031367
$3138	20031381
$3139	20031398
$3140	20031404
$1434	10002940
$1436	10002957
$1437	10002964
$1440	10002841
$1441	10002858
$1442	10002971
$1443	10002995
$1444	10002988
$1445	10002865
$1447	10003015
$1448	10003022
$1449	10003039
$1450	10003046
$1451	10003053
$1452	10003060
$1453	10003077
$1454	10003084
$1455	10003091
$1456	10003107
$1457	10003138
$1458	10003121
$1459	10003176
$1460	10003169
$1463	10003213
$1465	10003237
$1466	10003220
$1467	10003329
$1468	10003312
$1469	10003336
$1705	10003152
$1706	10003145
$1709	10003275
$1711	10003282
$1712	10003305
$1713	10003299
$1716	10002896
$1718	10002889
$1719	10002902
$1882	10002919
$1883	10002933
$1884	10002926
$4310	10003626
$2260	20022600
$2261	20022617
$2268	20022686
$2269	20022693
$2325	20023256
$2326	20023263
$2327	20023270
$2330	20023300
$2331	20023317
$2333	10004265
$2334	20023348
$2465	20024659
$2466	20024666
$3070	10003619
$2478	10003633
$2479	10003657
$2480	20024802
$2483	20024833
$2484	20024840
$2486	20024864
$2487	20024871
$2489	20024895
$2491	20024918
$2492	20024925
$4316	10003855
$2499	20024994
$3082	20025007
$2501	10003923
$2502	20025021
$2503	10003930
$2504	10003947
$2505	10003954
$2506	20025069
$2507	20025076
$2508	20025083
$2730	20027308
$2731	20027315
$2732	20027322
$2734	10004128
$4324	10004173
$3266	10000557
$3643	20036430
$3919	10000441
$2932	10003435
$2933	10003442
$2936	10003114
$3240	10002759
$3242	10003367
$3243	10002773
$3247	10003503
$3556	20035563
$3561	20035617
$3562	20035624
$3564	20035648
$3565	20035655
$3567	20035679
$3574	10003817
$3576	20035761
$3579	20035792
$3581	20035815
$4328	10004227
$4330	10004272
$4039	00019927
$805	00021166
$843	10003589
$2142	00023290
$4319	10004074
$4325	10004180
$2147	00024938
$949	00025065
$2145	00025218
$2146	00025232
$4322	10004159
$4326	10004203
$4327	10004210
$444	00025423
$4120	10000465
$4125	10000540
$4314	10003756
$4331	10004289
